iter	Passed	Remaining
422	2240	3056
423	2246	3051
424	2251	3046
425	2257	3041
426	2262	3035
427	2267	3030
428	2272	3025
429	2278	3019
430	2283	3014
431	2288	3009
432	2293	3003
433	2299	2998
434	2304	2993
435	2309	2988
436	2315	2982
437	2320	2977
438	2325	2972
439	2331	2966
440	2336	2961
441	2342	2956
442	2347	2951
443	2352	2946
444	2358	2941
445	2363	2935
446	2368	2930
447	2374	2925
448	2379	2920
449	2384	2914
450	2390	2909
451	2395	2904
452	2400	2899
453	2406	2893
454	2411	2888
455	2416	2883
456	2422	2878
457	2427	2872
458	2432	2867
459	2438	2862
460	2443	2857
461	2449	2851
462	2454	2846
463	2459	2841
464	2464	2836
465	2470	2830
466	2475	2825
467	2480	2820
468	2486	2814
469	2491	2809
470	2496	2804
471	2502	2798
472	2507	2793
473	2512	2788
474	2517	2783
475	2523	2777
476	2528	2772
477	2533	2767
478	2539	2761
479	2544	2756
480	2550	2751
481	2555	2746
482	2560	2741
483	2566	2735
484	2571	2730
485	2576	2725
486	2582	2719
487	2587	2714
488	2592	2709
489	2597	2704
490	2603	2698
491	2608	2693
492	2614	2688
493	2619	2683
494	2624	2677
495	2630	2672
496	2635	2667
497	2640	2661
498	2645	2656
499	2651	2651
500	2656	2646
501	2662	2641
502	2668	2636
503	2673	2631
504	2678	2625
505	2684	2620
506	2689	2615
507	2694	2609
508	2700	2604
509	2705	2599
510	2710	2594
511	2716	2588
512	2721	2583
513	2726	2578
514	2732	2573
515	2737	2567
516	2743	2562
517	2748	2557
518	2753	2552
519	2759	2546
520	2764	2541
521	2769	2536
522	2775	2531
523	2780	2525
524	2785	2520
525	2791	2515
526	2796	2510
527	2802	2504
528	2807	2500
529	2813	2494
530	2819	2489
531	2824	2484
532	2829	2479
533	2834	2473
534	2840	2468
535	2845	2463
536	2851	2458
537	2856	2452
538	2861	2447
539	2867	2442
540	2872	2437
541	2877	2431
542	2883	2426
543	2888	2421
544	2893	2415
545	2898	2410
546	2904	2405
547	2909	2400
548	2915	2394
549	2920	2389
550	2926	2384
551	2931	2379
552	2936	2373
553	2942	2368
554	2947	2363
555	2953	2358
556	2958	2352
557	2963	2347
558	2969	2342
559	2974	2337
560	2979	2331
561	2985	2326
562	2990	2321
563	2995	2316
564	3001	2310
565	3006	2305
566	3011	2300
567	3017	2294
568	3022	2289
569	3027	2284
570	3033	2278
571	3038	2273
572	3044	2268
573	3049	2263
574	3055	2258
575	3060	2252
576	3065	2247
577	3071	2242
578	3076	2237
579	3081	2231
580	3087	2226
581	3092	2221
582	3097	2215
583	3103	2210
584	3108	2205
585	3114	2200
586	3119	2194
587	3124	2189
588	3130	2184
589	3135	2178
590	3140	2173
591	3146	2168
592	3151	2162
593	3156	2157
