iter	Logloss
0	0.6925569389
1	0.6920090786
2	0.6915531773
3	0.6910560407
4	0.6903586603
5	0.6897715611
6	0.6891885096
7	0.6886186053
8	0.6879268716
9	0.6873641446
10	0.6869131664
11	0.6865154498
12	0.6859680512
13	0.6854858566
14	0.6850090481
15	0.6846447055
16	0.684245712
17	0.6838294079
18	0.6833626594
19	0.6829225657
20	0.6825261532
21	0.6821074005
22	0.6817572803
23	0.6814972739
24	0.6811425597
25	0.6807002788
26	0.6802739318
27	0.6799167392
28	0.6795884606
29	0.6792236773
30	0.6788836916
31	0.6784242651
32	0.6781059665
33	0.6776551174
34	0.6773259871
35	0.676990495
36	0.6765465392
37	0.6762512127
38	0.6758836013
39	0.6755856365
40	0.6752770009
41	0.6749580897
42	0.6745973835
43	0.6742902805
44	0.6739902115
45	0.673577988
46	0.6732361163
47	0.6729374082
48	0.6725601858
49	0.6722793703
50	0.6720046142
51	0.6716463402
52	0.6713783056
53	0.6710657001
54	0.6707794144
55	0.6705172016
56	0.6702505915
57	0.6699655972
58	0.6696240142
59	0.66931214
60	0.6690003803
61	0.6687018977
62	0.6683588919
63	0.6680992384
64	0.6677391786
65	0.6674840965
66	0.6672315439
67	0.6668458245
68	0.6664742172
69	0.6662020402
70	0.6659955545
71	0.6656594592
72	0.6653536147
73	0.6649166499
74	0.6646822135
75	0.6644106719
76	0.6641924774
77	0.6639281764
78	0.6637082829
79	0.6634417323
80	0.6631747788
81	0.6628730454
82	0.6626319935
83	0.6623026474
84	0.6618174207
85	0.6613312194
86	0.6611557304
87	0.6607638955
88	0.6605634718
89	0.6603185455
90	0.6600929968
91	0.6598627534
92	0.6595552231
93	0.6593080807
94	0.6591034543
95	0.6587866382
96	0.6585180813
97	0.6582579933
98	0.6580010744
99	0.6577177731
100	0.657437432
101	0.6571642235
102	0.6568757703
103	0.6566656681
104	0.6563928865
105	0.6560667347
106	0.6557768539
107	0.6554903729
108	0.6552496163
109	0.6550031056
110	0.6547530903
111	0.6545276545
112	0.6541724646
113	0.6539556613
114	0.6536853347
115	0.6534266374
116	0.6532142712
117	0.653006509
118	0.6528265513
119	0.6526047205
120	0.652332461
121	0.6521041967
122	0.6519036163
123	0.6510779273
124	0.6508175308
125	0.6505875223
126	0.6502927833
127	0.6500646187
128	0.6498437243
129	0.6495910618
130	0.6493303531
131	0.6490893209
132	0.64877666
133	0.6484642022
134	0.6482800943
135	0.6479957676
136	0.6477593251
137	0.6474843725
138	0.6471928925
139	0.647002329
140	0.6468331246
141	0.6465099669
142	0.6462662825
143	0.6460187411
144	0.6458352533
145	0.6455228032
146	0.6451806806
147	0.6449185111
148	0.644693172
149	0.6444628822
150	0.6442278495
151	0.6440228704
152	0.6438525731
153	0.6436544228
154	0.6434352124
155	0.6431913786
156	0.6429391428
157	0.6426838426
158	0.6424932522
159	0.6423119358
160	0.6420533322
161	0.6418479734
162	0.6414799797
163	0.6412784043
164	0.6410938029
165	0.6408596058
166	0.6406037115
167	0.6404185214
168	0.6401795207
169	0.6400150679
170	0.6398221112
171	0.6395945095
172	0.6393983859
173	0.63919326
174	0.638949293
175	0.6387002777
176	0.6384853989
177	0.638332522
178	0.6381185238
179	0.6378544086
180	0.6376500895
181	0.6374993565
182	0.6372599882
183	0.6370944435
184	0.6369085217
185	0.6366921831
186	0.6364690319
187	0.6363089515
188	0.6360730829
189	0.6358609342
190	0.6356867318
191	0.6355096245
192	0.6352985076
193	0.6350906133
194	0.6349266277
195	0.6346619529
196	0.6343847128
197	0.6341825776
198	0.6339244515
199	0.6336947785
200	0.6334647212
201	0.6332498428
202	0.6330258704
203	0.6328304979
204	0.6325212975
205	0.6323498527
206	0.6321446312
207	0.6319339998
208	0.6317412111
209	0.6314757054
210	0.631288291
211	0.6310938979
212	0.630885475
213	0.6306844302
214	0.630503133
215	0.6302773529
216	0.6300541364
217	0.6298105756
218	0.6294201626
219	0.6291780608
220	0.6289921365
221	0.6286849955
222	0.628506725
223	0.6283285017
224	0.6280451799
225	0.6278263925
226	0.6276005233
227	0.6273402698
228	0.6271190046
229	0.6269039227
230	0.6266667377
231	0.6264933432
232	0.6262014393
233	0.6258886579
234	0.6257051877
235	0.6254898818
236	0.6252613907
237	0.6250100659
238	0.6247963003
239	0.6245291533
240	0.6243038417
241	0.6240378604
242	0.6236146509
243	0.6233618085
244	0.6231594902
245	0.6229404488
246	0.6227356891
247	0.6224674047
248	0.6221132173
249	0.621902393
250	0.6217205322
251	0.621471965
252	0.6212737456
253	0.6210156692
254	0.6208083538
255	0.6205906066
256	0.6203139786
257	0.6201086159
258	0.6199337403
259	0.6197333853
260	0.6194990165
261	0.6192039297
262	0.6189483784
263	0.6187364167
264	0.6184788525
265	0.6182562046
266	0.6180700287
267	0.6178232536
268	0.6175873403
269	0.6173714295
270	0.617152445
271	0.6169206658
272	0.6166953167
273	0.6164261525
274	0.6162044715
275	0.6159274355
276	0.6155144461
277	0.6152598492
278	0.6150034869
279	0.6148120757
280	0.6146247483
281	0.6143030247
282	0.6140304001
283	0.613813314
284	0.6135393479
285	0.6133578598
286	0.6131854499
287	0.6129252511
288	0.6126744397
289	0.6124016047
290	0.612141928
291	0.6119127598
292	0.6115761616
293	0.6112845654
294	0.6110163404
295	0.6108446527
296	0.6106250417
297	0.6103397202
298	0.6101178328
299	0.6094980714
300	0.6092959982
301	0.609003615
302	0.6087702874
303	0.6085215488
304	0.6082411397
305	0.608004802
306	0.6077362524
307	0.6074457305
308	0.6072112411
309	0.6068296948
310	0.6065860832
311	0.6063012407
312	0.6060557632
313	0.6057828998
314	0.6055354756
315	0.6053089446
316	0.605110104
317	0.6047834569
318	0.6045676411
319	0.6043244599
320	0.604065667
321	0.6037825958
322	0.6035214336
323	0.6032544131
324	0.6030005089
325	0.6027994608
326	0.6024728636
327	0.6022492233
328	0.6019889996
329	0.6017458825
330	0.6014314543
331	0.6011767572
332	0.6009326191
333	0.6006972097
334	0.6004384931
335	0.600194091
336	0.5998760096
337	0.599557926
338	0.5993054237
339	0.5990668685
340	0.5988815274
341	0.5986481871
342	0.5984261647
343	0.5981927098
344	0.5979471616
345	0.5976695451
346	0.5973716946
347	0.5971627458
348	0.5968943934
349	0.596672156
350	0.596389809
351	0.5961265541
352	0.5957698658
353	0.5955116302
354	0.5952836194
355	0.5950014968
356	0.5947351405
357	0.594488751
358	0.5942275545
359	0.5940000396
360	0.5937376697
361	0.5935029515
362	0.5932277606
363	0.5930001505
364	0.592816778
365	0.5925605834
366	0.5922872899
367	0.5918701871
368	0.5916129687
369	0.5913127073
370	0.5911248299
371	0.5909272705
372	0.5906788657
373	0.5904415084
374	0.590215787
375	0.5900109261
376	0.5897557707
377	0.5895672029
378	0.5893061517
379	0.58905912
380	0.5887947125
381	0.5885590663
382	0.5883841767
383	0.5881886287
384	0.5879340502
385	0.587722366
386	0.587528116
387	0.5872904256
388	0.5871083211
389	0.5869228843
390	0.5867242227
391	0.5865620787
392	0.5862335955
393	0.5859728506
394	0.5857597165
395	0.5855171808
396	0.5853128528
397	0.5850346558
398	0.5847971443
399	0.5845840507
400	0.5843992112
401	0.5841428164
402	0.5839050011
403	0.5836581163
404	0.5833644161
405	0.5831610892
406	0.5829180444
407	0.5826863111
408	0.5824270012
409	0.5821764689
410	0.5819410022
411	0.5816823331
412	0.5814037829
413	0.5811699366
414	0.5808854565
415	0.5806178905
416	0.5803826283
417	0.5801536995
418	0.5799305832
419	0.5797341627
420	0.5795139572
421	0.5792602927
422	0.5790032076
423	0.578784582
424	0.5785483737
425	0.578288126
426	0.578052452
427	0.5778546565
428	0.5776127102
429	0.5773787841
430	0.5772086521
431	0.5770225163
432	0.5767994266
433	0.5765477626
434	0.5763678462
435	0.5761254228
436	0.5759471726
437	0.5757340047
438	0.5755352753
439	0.5753566677
440	0.5751545186
441	0.5749180364
442	0.5746645595
443	0.5743708797
444	0.5741393844
445	0.5738943233
446	0.5737005296
447	0.5735000459
448	0.5732754864
449	0.5730683931
450	0.5728098652
451	0.5725610269
452	0.5722544547
453	0.5720810169
454	0.5718404598
455	0.5716529757
456	0.571450388
457	0.5712531948
458	0.5710543427
459	0.570851379
460	0.5706192215
461	0.5704552398
462	0.5702261108
463	0.5700354617
464	0.569794408
465	0.569589989
466	0.5693717046
467	0.569186946
468	0.568979098
469	0.5687434918
470	0.5685591045
471	0.5683621354
472	0.5681465967
473	0.5679339481
474	0.567743208
475	0.5675547284
476	0.5673549073
477	0.5671304362
478	0.5668898475
479	0.5666063672
480	0.5663979973
481	0.5661979403
482	0.5659439425
483	0.5657469751
484	0.5655452261
485	0.5653363818
486	0.5651047471
487	0.5648784529
488	0.5646735888
489	0.5644374112
490	0.5642091185
491	0.5639896531
492	0.5638079913
493	0.5636005701
494	0.5633681689
495	0.5631313548
496	0.5629052517
497	0.562731192
498	0.5625400287
499	0.5622762111
500	0.5620446654
501	0.5618003533
502	0.5615865043
503	0.5614213694
504	0.5612068085
505	0.5609799522
506	0.5607628647
507	0.5605729252
508	0.5603226418
509	0.5601331086
510	0.5599767677
511	0.5598029143
512	0.5595366864
513	0.5593556253
514	0.5591608161
515	0.5588906104
516	0.5587059444
517	0.5584970758
518	0.5582769503
519	0.5581153372
520	0.5578812136
521	0.5576419327
522	0.5574541975
523	0.5572073828
524	0.5570412628
525	0.5568759209
526	0.5566686088
527	0.5564643123
528	0.5562366762
529	0.5558829758
530	0.5556648619
531	0.5554375228
532	0.5552680848
533	0.554985872
534	0.5547833761
535	0.5545589065
536	0.5543817991
537	0.5541610367
538	0.5539578666
539	0.5537028677
540	0.5535312367
541	0.5533324377
542	0.553101104
543	0.5529192598
544	0.5526971682
545	0.5525056336
546	0.5522962297
547	0.55209508
548	0.551894589
549	0.5516757449
550	0.5515112211
551	0.55128931
552	0.5511014126
553	0.550935203
554	0.5507245842
555	0.5504944007
556	0.5503114191
557	0.5501038721
558	0.5498982567
559	0.549714904
560	0.5495680303
561	0.5493414925
562	0.5491419065
563	0.5489427303
564	0.5487095248
565	0.5485216058
566	0.5483552808
567	0.5481448424
568	0.5479907753
569	0.5477787705
570	0.5475886282
571	0.5473754298
572	0.5471840498
573	0.5469748773
574	0.5467615269
575	0.5465661933
576	0.5463609862
577	0.5461776946
578	0.5460095887
579	0.5458269341
580	0.5456632191
581	0.5455068453
582	0.5453548695
583	0.5451798179
584	0.5449645965
585	0.5447413923
586	0.5444929708
587	0.5443430251
588	0.5441452794
589	0.543912311
590	0.543698082
591	0.543519098
592	0.5433183266
593	0.543078069
594	0.5428823838
595	0.5426924891
596	0.5425001323
597	0.5422932313
598	0.5421173071
599	0.5419062127
600	0.5416671526
601	0.5414629252
602	0.5412941631
603	0.5410926427
604	0.5409419561
605	0.540717518
606	0.5405259833
607	0.5403441922
608	0.5401848322
609	0.5400075234
610	0.5398399564
611	0.5396121233
612	0.5394174205
613	0.539239943
614	0.5390357705
615	0.5388609918
616	0.5386381419
617	0.5384685342
618	0.5383042513
619	0.5380927816
620	0.5379001027
621	0.5377001914
622	0.5375585144
623	0.5373633725
624	0.5371770728
625	0.5369586187
626	0.5367452028
627	0.5365424113
628	0.5363514802
629	0.5361909478
630	0.5360241853
631	0.5358708887
632	0.5356505505
633	0.5354613322
634	0.5353074863
635	0.5351025571
636	0.5349508124
637	0.5347982557
638	0.5345973223
639	0.5343810166
640	0.534204321
641	0.5339836137
642	0.5337997973
643	0.5336039658
644	0.5333700432
645	0.5332010436
646	0.5330036708
647	0.5328156238
648	0.5325952788
649	0.5324449114
650	0.5322452647
651	0.5320423072
652	0.5318596871
653	0.5316680739
654	0.5314875505
655	0.5312816505
656	0.5310808562
657	0.5308860186
658	0.5307002295
